Running programme in gpu
Loading weights from ./detector/YOLOv3/weight/yolov3.weights... Done!
Loading weights from ./deep_sort/deep/checkpoint/ckpt.t7!
frame index: 468, spend time: 0.147s, fps: 6.807
frame index: 469, spend time: 0.131s, fps: 7.655
frame index: 470, spend time: 0.148s, fps: 6.769
frame index: 471, spend time: 0.160s, fps: 6.266
frame index: 472, spend time: 0.154s, fps: 6.484
frame index: 473, spend time: 0.169s, fps: 5.927
frame index: 474, spend time: 0.175s, fps: 5.702
frame index: 475, spend time: 0.174s, fps: 5.731
frame index: 476, spend time: 0.141s, fps: 7.102
frame index: 477, spend time: 0.135s, fps: 7.415
frame index: 478, spend time: 0.149s, fps: 6.712
frame index: 479, spend time: 0.151s, fps: 6.644
frame index: 480, spend time: 0.118s, fps: 8.510
frame index: 481, spend time: 0.161s, fps: 6.230
frame index: 482, spend time: 0.140s, fps: 7.133
frame index: 483, spend time: 0.094s, fps: 10.654
frame index: 484, spend time: 0.095s, fps: 10.538
frame index: 485, spend time: 0.093s, fps: 10.772
frame index: 486, spend time: 0.121s, fps: 8.295
frame index: 487, spend time: 0.148s, fps: 6.754
frame index: 488, spend time: 0.187s, fps: 5.340
frame index: 489, spend time: 0.167s, fps: 5.996
frame index: 490, spend time: 0.168s, fps: 5.963
frame index: 491, spend time: 0.168s, fps: 5.945
frame index: 492, spend time: 0.150s, fps: 6.677
frame index: 493, spend time: 0.139s, fps: 7.208
frame index: 494, spend time: 0.118s, fps: 8.446
frame index: 495, spend time: 0.135s, fps: 7.393
frame index: 496, spend time: 0.135s, fps: 7.384
frame index: 497, spend time: 0.136s, fps: 7.366
frame index: 498, spend time: 0.156s, fps: 6.401
frame index: 499, spend time: 0.128s, fps: 7.842
frame index: 500, spend time: 0.153s, fps: 6.538
frame index: 501, spend time: 0.170s, fps: 5.892
frame index: 502, spend time: 0.180s, fps: 5.557
frame index: 503, spend time: 0.154s, fps: 6.512
frame index: 504, spend time: 0.168s, fps: 5.956
frame index: 505, spend time: 0.187s, fps: 5.360
frame index: 506, spend time: 0.176s, fps: 5.687
frame index: 507, spend time: 0.151s, fps: 6.623
frame index: 508, spend time: 0.176s, fps: 5.688
frame index: 509, spend time: 0.198s, fps: 5.053
frame index: 510, spend time: 0.190s, fps: 5.258
frame index: 511, spend time: 0.174s, fps: 5.741
frame index: 512, spend time: 0.172s, fps: 5.815
frame index: 513, spend time: 0.167s, fps: 5.977
frame index: 514, spend time: 0.155s, fps: 6.469
frame index: 515, spend time: 0.172s, fps: 5.827
frame index: 516, spend time: 0.162s, fps: 6.165
frame index: 517, spend time: 0.168s, fps: 5.953
frame index: 518, spend time: 0.146s, fps: 6.863
frame index: 519, spend time: 0.139s, fps: 7.196
