[Progress:60.8%] time:50.69s Loss:1.05001  Acc:55.438%
[Progress:61.0%] time:51.15s Loss:1.13730  Acc:55.516%
[Progress:61.3%] time:51.19s Loss:1.14259  Acc:55.596%
[Progress:61.6%] time:50.35s Loss:1.06561  Acc:55.685%
[Progress:61.8%] time:50.13s Loss:1.07510  Acc:55.769%
[Progress:62.1%] time:49.31s Loss:1.07651  Acc:55.849%
[Progress:62.4%] time:49.42s Loss:1.09415  Acc:55.928%
[Progress:62.6%] time:49.36s Loss:1.08421  Acc:56.006%
[Progress:62.9%] time:50.98s Loss:1.04447  Acc:56.088%
[Progress:63.2%] time:49.91s Loss:1.04005  Acc:56.172%
[Progress:63.4%] time:50.37s Loss:1.03223  Acc:56.258%
[Progress:63.7%] time:48.75s Loss:1.13314  Acc:56.332%
[Progress:64.0%] time:49.26s Loss:1.03075  Acc:56.415%
[Progress:64.2%] time:48.97s Loss:1.02430  Acc:56.495%
[Progress:64.5%] time:51.11s Loss:1.04669  Acc:56.576%
[Progress:64.8%] time:52.44s Loss:1.07804  Acc:56.652%
[Progress:65.1%] time:51.93s Loss:1.05463  Acc:56.731%
[Progress:65.3%] time:50.88s Loss:1.05034  Acc:56.812%
[Progress:65.6%] time:51.41s Loss:0.96852  Acc:56.897%
[Progress:65.9%] time:50.11s Loss:1.10267  Acc:56.971%
[Progress:66.1%] time:49.96s Loss:1.08647  Acc:57.046%
[Progress:66.4%] time:50.40s Loss:1.07894  Acc:57.119%
[Progress:66.7%] time:50.63s Loss:1.05014  Acc:57.196%
[Progress:66.9%] time:50.56s Loss:1.10523  Acc:57.264%
[Progress:67.2%] time:49.72s Loss:1.03384  Acc:57.333%
[Progress:67.5%] time:50.06s Loss:1.03168  Acc:57.406%
[Progress:67.7%] time:48.58s Loss:1.07367  Acc:57.470%
[Progress:68.0%] time:50.78s Loss:1.03158  Acc:57.542%
[Progress:68.3%] time:51.02s Loss:1.02435  Acc:57.611%
[Progress:68.5%] time:50.81s Loss:1.07717  Acc:57.678%
[Progress:68.8%] time:50.37s Loss:1.11040  Acc:57.742%
[Progress:69.1%] time:50.54s Loss:1.06472  Acc:57.810%
[Progress:69.4%] time:50.53s Loss:1.03985  Acc:57.881%
[Progress:69.6%] time:50.97s Loss:1.10881  Acc:57.946%
[Progress:69.9%] time:49.82s Loss:1.03130  Acc:58.019%
[Progress:70.2%] time:50.14s Loss:0.99204  Acc:58.091%
[Progress:70.4%] time:50.83s Loss:0.99582  Acc:58.165%
[Progress:70.7%] time:49.40s Loss:1.06827  Acc:58.232%
[Progress:71.0%] time:48.73s Loss:0.99254  Acc:58.301%
[Progress:71.2%] time:49.34s Loss:1.01801  Acc:58.369%
[Progress:71.5%] time:49.78s Loss:0.98655  Acc:58.440%
[Progress:71.8%] time:51.33s Loss:1.03115  Acc:58.508%
[Progress:72.0%] time:51.37s Loss:0.99337  Acc:58.573%
[Progress:72.3%] time:50.75s Loss:1.03891  Acc:58.636%
[Progress:72.6%] time:50.47s Loss:1.03577  Acc:58.702%
[Progress:72.8%] time:51.58s Loss:1.05709  Acc:58.763%
[Progress:73.1%] time:51.09s Loss:1.06761  Acc:58.823%
[Progress:73.4%] time:51.18s Loss:1.05744  Acc:58.886%
[Progress:73.7%] time:50.18s Loss:1.00877  Acc:58.951%
[Progress:73.9%] time:51.05s Loss:0.99235  Acc:59.011%
[Progress:74.2%] time:50.74s Loss:1.02539  Acc:59.075%
[Progress:74.5%] time:50.31s Loss:1.06855  Acc:59.134%
[Progress:74.7%] time:48.98s Loss:1.03320  Acc:59.196%
[Progress:75.0%] time:49.57s Loss:1.02407  Acc:59.257%
[Progress:75.3%] time:50.70s Loss:0.97511  Acc:59.319%
[Progress:75.5%] time:51.51s Loss:0.99215  Acc:59.379%
[Progress:75.8%] time:50.93s Loss:1.01060  Acc:59.438%
[Progress:76.1%] time:51.40s Loss:1.02676  Acc:59.495%
[Progress:76.3%] time:51.57s Loss:0.96232  Acc:59.560%
[Progress:76.6%] time:50.19s Loss:1.04362  Acc:59.616%
[Progress:76.9%] time:50.93s Loss:0.97926  Acc:59.679%
[Progress:77.2%] time:50.62s Loss:1.06147  Acc:59.730%
[Progress:77.4%] time:51.31s Loss:1.02430  Acc:59.787%
[Progress:77.7%] time:51.66s Loss:0.98021  Acc:59.852%
[Progress:78.0%] time:50.29s Loss:1.02464  Acc:59.908%
[Progress:78.2%] time:49.60s Loss:1.04920  Acc:59.960%
[Progress:78.5%] time:50.64s Loss:1.05652  Acc:60.013%
[Progress:78.8%] time:51.03s Loss:0.95196  Acc:60.073%
[Progress:79.0%] time:50.49s Loss:1.08026  Acc:60.124%
[Progress:79.3%] time:51.11s Loss:1.00723  Acc:60.175%
[Progress:79.6%] time:50.91s Loss:1.05478  Acc:60.229%
[Progress:79.8%] time:51.24s Loss:0.94866  Acc:60.288%
[Progress:80.1%] time:50.43s Loss:0.93637  Acc:60.345%
[Progress:80.4%] time:50.56s Loss:1.02310  Acc:60.400%
[Progress:80.6%] time:50.94s Loss:1.00246  Acc:60.454%
[Progress:80.9%] time:50.98s Loss:0.98281  Acc:60.509%
[Progress:81.2%] time:51.00s Loss:0.97331  Acc:60.563%
[Progress:81.5%] time:51.17s Loss:1.00294  Acc:60.615%
[Progress:81.7%] time:51.20s Loss:0.98193  Acc:60.668%
[Progress:82.0%] time:51.38s Loss:0.97144  Acc:60.723%
[Progress:82.3%] time:51.37s Loss:0.98672  Acc:60.777%
[Progress:82.5%] time:50.43s Loss:1.06115  Acc:60.825%
[Progress:82.8%] time:51.74s Loss:0.91433  Acc:60.881%
[Progress:83.1%] time:51.29s Loss:0.95388  Acc:60.936%
[Progress:83.3%] time:51.47s Loss:1.05777  Acc:60.981%
[Progress:83.6%] time:50.44s Loss:1.00002  Acc:61.031%
[Progress:83.9%] time:50.87s Loss:0.97590  Acc:61.084%
[Progress:84.1%] time:49.82s Loss:1.01152  Acc:61.132%
[Progress:84.4%] time:49.87s Loss:1.00839  Acc:61.183%
[Progress:84.7%] time:49.52s Loss:1.06757  Acc:61.227%
[Progress:84.9%] time:51.03s Loss:0.98224  Acc:61.275%
[Progress:85.2%] time:49.90s Loss:0.95306  Acc:61.328%
[Progress:85.5%] time:51.12s Loss:0.92376  Acc:61.381%
[Progress:85.8%] time:50.90s Loss:0.94802  Acc:61.433%
[Progress:86.0%] time:53.08s Loss:0.95520  Acc:61.482%
[Progress:86.3%] time:51.40s Loss:0.98690  Acc:61.530%
[Progress:86.6%] time:50.52s Loss:0.95513  Acc:61.576%
[Progress:86.8%] time:50.46s Loss:1.03839  Acc:61.620%
[Progress:87.1%] time:51.01s Loss:1.00079  Acc:61.668%
[Progress:87.4%] time:49.91s Loss:1.02291  Acc:61.712%
[Progress:87.6%] time:50.27s Loss:1.01108  Acc:61.759%
[Progress:87.9%] time:50.60s Loss:0.94245  Acc:61.811%
[Progress:88.2%] time:51.33s Loss:0.98638  Acc:61.858%
[Progress:88.4%] time:50.04s Loss:0.91246  Acc:61.912%
[Progress:88.7%] time:49.85s Loss:0.89724  Acc:61.962%
[Progress:89.0%] time:51.49s Loss:0.91637  Acc:62.011%
[Progress:89.2%] time:52.69s Loss:0.95044  Acc:62.057%
[Progress:89.5%] time:51.37s Loss:0.91605  Acc:62.110%
[Progress:89.8%] time:51.84s Loss:0.90154  Acc:62.161%
[Progress:90.1%] time:51.59s Loss:0.99318  Acc:62.203%
[Progress:90.3%] time:50.36s Loss:0.93802  Acc:62.250%
[Progress:90.6%] time:50.07s Loss:0.94458  Acc:62.294%
[Progress:90.9%] time:50.23s Loss:0.94148  Acc:62.341%
[Progress:91.1%] time:50.13s Loss:0.90709  Acc:62.391%
[Progress:91.4%] time:49.83s Loss:0.97641  Acc:62.435%
[Progress:91.7%] time:50.90s Loss:0.98019  Acc:62.477%
[Progress:91.9%] time:49.37s Loss:0.93359  Acc:62.523%
[Progress:92.2%] time:49.17s Loss:0.85599  Acc:62.571%
[Progress:92.5%] time:51.83s Loss:1.04416  Acc:62.610%
[Progress:92.7%] time:51.17s Loss:1.02569  Acc:62.651%
[Progress:93.0%] time:52.10s Loss:0.95014  Acc:62.695%
[Progress:93.3%] time:52.55s Loss:0.94656  Acc:62.738%
[Progress:93.5%] time:52.63s Loss:1.01515  Acc:62.778%
[Progress:93.8%] time:51.32s Loss:0.95354  Acc:62.821%
[Progress:94.1%] time:51.52s Loss:1.00610  Acc:62.863%
[Progress:94.4%] time:50.92s Loss:0.99068  Acc:62.904%
[Progress:94.6%] time:51.24s Loss:0.99645  Acc:62.945%
[Progress:94.9%] time:50.77s Loss:1.00261  Acc:62.985%
[Progress:95.2%] time:51.62s Loss:1.00855  Acc:63.024%
[Progress:95.4%] time:50.56s Loss:0.92873  Acc:63.068%
[Progress:95.7%] time:49.71s Loss:0.91200  Acc:63.111%
[Progress:96.0%] time:51.55s Loss:0.98053  Acc:63.152%
[Progress:96.2%] time:52.19s Loss:0.96316  Acc:63.191%
[Progress:96.5%] time:52.17s Loss:0.91223  Acc:63.232%
[Progress:96.8%] time:50.94s Loss:0.98632  Acc:63.271%
[Progress:97.0%] time:51.33s Loss:0.85672  Acc:63.318%
[Progress:97.3%] time:52.51s Loss:0.87790  Acc:63.363%
[Progress:97.6%] time:51.67s Loss:0.91018  Acc:63.408%
[Progress:97.8%] time:50.81s Loss:0.95615  Acc:63.449%
[Progress:98.1%] time:50.81s Loss:0.98267  Acc:63.485%
[Progress:98.4%] time:50.73s Loss:1.01345  Acc:63.522%
[Progress:98.7%] time:50.85s Loss:0.99594  Acc:63.560%
[Progress:98.9%] time:49.83s Loss:0.96467  Acc:63.597%
[Progress:99.2%] time:49.10s Loss:1.01162  Acc:63.634%
[Progress:99.5%] time:49.30s Loss:0.94722  Acc:63.671%
[Progress:99.7%] time:49.86s Loss:0.93775  Acc:63.710%
[Progress:100.0%] time:49.48s Loss:0.88185  Acc:63.753%
[Progress:0.3%] time:53.35s Loss:0.89146  Acc:79.648%
[Progress:0.5%] time:51.79s Loss:0.92846  Acc:79.199%
